dim_0,dim_1,timepoint,sample_id,split
-0.4730125,-0.64564824,11,C_Lav_81,train
-1.2932359,0.073354416,12,C_Lav_81,train
-0.7619942,-1.9120432,8,C_Lav_81,train
0.5026479,-0.718147,14,C_Lav_81,train
0.73661923,0.8875327,9,C_Lav_81,train
-0.37463486,-1.230191,7,C_Lav_81,train
-1.0745387,-0.5251565,13,C_Lav_81,train
0.5002098,0.74119544,10,C_Lav_81,train
0.47198793,-1.9068302,3,C_Lav_81,train
0.9907278,-0.052313026,0,C_Lav_81,train
0.26538736,-0.28691387,4,C_Lav_81,train
1.1646727,-0.8284853,5,C_Lav_81,train
-0.09215937,0.9534219,2,C_Lav_81,train
0.8340152,-0.2378991,6,C_Lav_81,train
-0.62014246,0.6906255,1,C_Lav_81,train
0.23750657,0.7874959,13,C_Sav_82,train
-0.8648311,-0.12780613,7,C_Sav_82,train
-0.38490444,-0.12052563,10,C_Sav_82,train
0.39596316,-1.1105902,14,C_Sav_82,train
1.1254817,-0.108508326,8,C_Sav_82,train
-0.8817089,1.6793357,9,C_Sav_82,train
0.6973928,-1.4880337,12,C_Sav_82,train
0.87615615,-0.6080783,11,C_Sav_82,train
1.6644006,-0.81299543,6,C_Sav_82,train
-0.41800714,1.3451093,1,C_Sav_82,train
-0.42057967,0.24715649,5,C_Sav_82,train
1.0444944,-1.4476379,2,C_Sav_82,train
-1.5855107,-0.46779695,4,C_Sav_82,train
0.66237855,-0.6784001,3,C_Sav_82,train
0.7615784,0.28979978,0,C_Sav_82,train
1.0047026,0.46977928,10,C_Savav_20,train
-1.8930559,1.9245162,7,C_Savav_20,train
-0.023324,-0.25634113,13,C_Savav_20,train
-1.5452571,-0.5207421,9,C_Savav_20,train
0.51657295,-1.5779877,8,C_Savav_20,train
0.6646414,-0.23635802,14,C_Savav_20,train
1.1659634,-1.3429784,12,C_Savav_20,train
-0.57126474,-0.07431756,11,C_Savav_20,train
-0.7222043,-0.97453314,1,C_Savav_20,train
0.28255206,0.60090756,6,C_Savav_20,train
-0.51406807,-0.6956795,2,C_Savav_20,train
1.1705549,-0.29960418,5,C_Savav_20,train
1.5412041,1.3145424,4,C_Savav_20,train
-0.13892867,0.86251736,0,C_Savav_20,train
-1.4541873,-0.020370565,3,C_Savav_20,train
0.75462204,0.9642374,3,C_Sav_78,train
1.264416,0.419582,0,C_Sav_78,train
