dim_0,dim_1,timepoint,sample_id,split
-0.63910127,-0.35572135,4,C_Sav_78,train
0.1569626,0.8734152,5,C_Sav_78,train
-0.45096156,-0.48809806,2,C_Sav_78,train
-0.8937442,0.9603694,6,C_Sav_78,train
0.59229445,-0.163003,1,C_Sav_78,train
-0.17327759,0.38681245,11,C_Sav_78,train
-1.5890713,-0.117780976,12,C_Sav_78,train
-0.48993024,1.4991039,8,C_Sav_78,train
-0.0008896119,0.36625433,14,C_Sav_78,train
2.4841664,1.2436246,9,C_Sav_78,train
-1.2285581,-0.6969321,7,C_Sav_78,train
-0.27630237,-1.0847592,13,C_Sav_78,train
0.12508574,-0.9223486,10,C_Sav_78,train
-0.21724817,0.047195192,2,C_Savav_27,train
0.8165512,-0.3487145,5,C_Savav_27,train
0.23281981,0.1284383,1,C_Savav_27,train
0.51034474,0.47454327,6,C_Savav_27,train
-2.2655604,0.6698506,0,C_Savav_27,train
0.33035466,-1.0946105,3,C_Savav_27,train
1.5409979,0.22566502,4,C_Savav_27,train
0.23886822,0.11921725,9,C_Savav_27,train
0.11433876,-0.34976834,8,C_Savav_27,train
0.19978604,-0.09008436,14,C_Savav_27,train
1.343365,0.8848542,10,C_Savav_27,train
-0.92114687,1.2880713,7,C_Savav_27,train
-0.4537202,-0.18733123,13,C_Savav_27,train
-0.9369048,-0.25549415,11,C_Savav_27,train
0.27891424,-0.43823075,12,C_Savav_27,train
-1.3632877,-0.16105461,3,C_Lava_6,train
0.63753796,0.7623299,0,C_Lava_6,train
-0.8932166,0.48483914,4,C_Lava_6,train
0.14753531,0.62668836,5,C_Lava_6,train
-1.0114923,0.3885422,2,C_Lava_6,train
-0.6267027,-0.19110766,6,C_Lava_6,train
-1.0041578,-0.7235722,1,C_Lava_6,train
-0.15313545,1.6910537,11,C_Lava_6,train
0.6330474,0.078288436,12,C_Lava_6,train
1.2731909,0.8863301,8,C_Lava_6,train
1.2597831,1.1433738,14,C_Lava_6,train
-0.6637382,0.5160366,9,C_Lava_6,train
-0.9837452,1.2083737,7,C_Lava_6,train
-1.5968186,-1.2032733,13,C_Lava_6,train
0.01587105,1.3253791,10,C_Lava_6,train
-0.94320667,-1.8034756,0,C_Lvav_0,train
0.5122743,-0.9316299,3,C_Lvav_0,train
-0.1304731,0.08373641,4,C_Lvav_0,train
0.6428261,1.5011808,2,C_Lvav_0,train
1.030073,-0.9351218,5,C_Lvav_0,train
-1.7190458,0.30117458,1,C_Lvav_0,train
0.30433482,-0.96407104,6,C_Lvav_0,train
-1.0010206,-0.3016604,11,C_Lvav_0,train
-0.57314765,0.008378432,12,C_Lvav_0,train
-0.64061725,-1.0522792,9,C_Lvav_0,train
0.04309202,0.47639653,8,C_Lvav_0,train
0.5584277,-0.50035334,14,C_Lvav_0,train
1.3168365,-2.6266487,10,C_Lvav_0,train
-1.9537355,-0.075564966,7,C_Lvav_0,train
0.16103193,-0.099728964,13,C_Lvav_0,train
0.77339876,0.08687443,11,C_Lav_45,train
-0.03986008,-0.093611054,12,C_Lav_45,train
1.2129654,-0.6547655,9,C_Lav_45,train
0.32864928,0.11963678,14,C_Lav_45,train
0.16819246,-1.7355815,8,C_Lav_45,train
1.5294739,1.0821791,10,C_Lav_45,train
-0.67009723,-0.32606453,13,C_Lav_45,train
-1.0215056,1.0470134,7,C_Lav_45,train
-1.0254751,-0.2467798,0,C_Lav_45,train
-1.392575,1.1387597,3,C_Lav_45,train
-1.3029951,0.71518934,4,C_Lav_45,train
-0.12445091,-2.3567502,2,C_Lav_45,train
1.1051928,1.3228431,5,C_Lav_45,train
1.3795338,-0.177027,1,C_Lav_45,train
1.5614667,-1.5008858,6,C_Lav_45,train
1.4738657,-2.262037,4,C_Lvav_46,train
-1.2518921,-0.8759586,0,C_Lvav_46,train
-0.5243384,-0.20707744,3,C_Lvav_46,train
-1.2209151,-0.44286796,1,C_Lvav_46,train
0.40715444,0.6332897,6,C_Lvav_46,train
1.0305685,0.5577598,2,C_Lvav_46,train
0.20090929,0.39795485,5,C_Lvav_46,train
0.6278048,1.3819451,12,C_Lvav_46,train
0.42643005,-0.11739564,11,C_Lvav_46,train
0.85414326,1.2001363,10,C_Lvav_46,train
1.9366841,0.65792096,13,C_Lvav_46,train
-0.23608023,0.4628778,7,C_Lvav_46,train
-0.51989573,-0.24171895,9,C_Lvav_46,train
-1.7022864,0.64734656,14,C_Lvav_46,train
1.3545418,0.59978753,8,C_Lvav_46,train
-0.7938005,-0.16069663,9,C_Lava_71,train
0.21906784,1.579259,8,C_Lava_71,train
0.13270938,1.4901377,14,C_Lava_71,train
-0.6862115,0.39343023,10,C_Lava_71,train
-1.0134398,-0.9956196,7,C_Lava_71,train
0.7024489,-0.016791243,13,C_Lava_71,train
-2.0088065,-0.53434354,11,C_Lava_71,train
0.016820079,-2.7547028,12,C_Lava_71,train
1.0890474,-0.2943486,2,C_Lava_71,train
-1.8566188,-0.27140504,5,C_Lava_71,train
0.40904814,-0.9541906,1,C_Lava_71,train
-0.47023454,-2.0299215,6,C_Lava_71,train
1.2859697,-0.46272582,0,C_Lava_71,train
-1.0706307,-2.0094566,3,C_Lava_71,train
0.09817493,-1.3346092,4,C_Lava_71,train
-1.4252338,0.006448253,1,C_Savav_46,train
-1.1574296,0.840001,6,C_Savav_46,train
1.3406584,1.7038255,2,C_Savav_46,train
0.39959908,0.7916545,5,C_Savav_46,train
0.7284044,-1.2580774,4,C_Savav_46,train
-2.052826,0.13772699,0,C_Savav_46,train
0.73142904,-1.1770667,3,C_Savav_46,train
0.12844458,0.010787079,10,C_Savav_46,train
1.7397,2.1673582,13,C_Savav_46,train
0.14045158,-1.1480895,7,C_Savav_46,train
-2.2088327,-0.25472468,9,C_Savav_46,train
0.2275009,0.7741095,14,C_Savav_46,train
-0.3859731,1.8405428,8,C_Savav_46,train
-0.81564796,0.5061225,12,C_Savav_46,train
-2.7328765,-0.824595,11,C_Savav_46,train
-0.22048804,-0.31559098,5,C_Lvav_67,train
-0.82127804,0.9180035,2,C_Lvav_67,train
1.966892,-0.1992437,6,C_Lvav_67,train
0.9522082,0.21347108,1,C_Lvav_67,train
1.7132936,0.97713804,3,C_Lvav_67,train
0.37526762,-0.8131383,0,C_Lvav_67,train
-0.12589873,-0.9104592,4,C_Lvav_67,train
-0.9295522,-0.9493475,8,C_Lvav_67,train
-0.15297842,-2.7394717,14,C_Lvav_67,train
-1.3126768,-0.54527485,9,C_Lvav_67,train
-1.4406371,-0.314064,7,C_Lvav_67,train
-0.5489219,0.14496797,13,C_Lvav_67,train
0.7149799,0.16908795,10,C_Lvav_67,train
-0.28713128,-0.24928136,11,C_Lvav_67,train
-0.29548085,-0.51509964,12,C_Lvav_67,train
0.26905662,-0.41458,12,C_Lav_65,train
0.90318954,-1.163048,11,C_Lav_65,train
-0.22868046,-0.44982094,10,C_Lav_65,train
1.0121655,-1.0878736,7,C_Lav_65,train
-0.27138028,0.989272,13,C_Lav_65,train
-1.0136533,1.0432051,9,C_Lav_65,train
-2.9312978,0.55036044,8,C_Lav_65,train
0.46099693,1.4255595,14,C_Lav_65,train
1.2833261,-0.15748507,4,C_Lav_65,train
-1.2151893,-0.098607995,0,C_Lav_65,train
0.8576096,0.8976798,3,C_Lav_65,train
0.32974273,0.8298215,1,C_Lav_65,train
-1.0188159,-0.6374433,6,C_Lav_65,train
-0.19933464,-0.70195997,2,C_Lav_65,train
-1.2562722,-0.19053158,5,C_Lav_65,train
0.20862493,0.43575335,6,C_Lava_41,train
-0.3982461,-0.40756607,1,C_Lava_41,train
-0.3005026,-0.3193352,5,C_Lava_41,train
0.08030153,0.755671,2,C_Lava_41,train
0.1527684,0.56602883,4,C_Lava_41,train
-0.16917846,-0.29529765,3,C_Lava_41,train
-0.28323492,-0.85185474,0,C_Lava_41,train
-0.46244583,-0.8121565,13,C_Lava_41,train
0.9179425,1.2949986,7,C_Lava_41,train
0.03409432,0.44327813,10,C_Lava_41,train
0.20798624,1.5630348,14,C_Lava_41,train
-0.33702388,-0.9743832,8,C_Lava_41,train
-1.7739131,-0.2350692,9,C_Lava_41,train
-0.36610565,1.2210271,12,C_Lava_41,train
-1.7967798,1.2406133,11,C_Lava_41,train
-1.5590022,-0.22726361,3,C_Lav_14,train
0.7424226,0.37516022,0,C_Lav_14,train
1.0206809,0.53623205,4,C_Lav_14,train
-0.9227268,-1.474425,5,C_Lav_14,train
0.47088188,1.4596744,2,C_Lav_14,train
-1.8554826,1.1843644,6,C_Lav_14,train
-2.0010917,1.1519201,1,C_Lav_14,train
-1.4442618,-0.43444842,11,C_Lav_14,train
-0.8386813,1.3526312,12,C_Lav_14,train
1.2783993,-0.5597919,14,C_Lav_14,train
-0.032890145,0.40896153,8,C_Lav_14,train
0.1121109,0.5505411,9,C_Lav_14,train
2.4360254,0.0071539385,13,C_Lav_14,train
0.45006812,-0.57109475,7,C_Lav_14,train
0.72944415,1.1069297,10,C_Lav_14,train
-0.4382567,0.03449606,12,C_Sav_75,train
-1.5658857,-0.95200574,11,C_Sav_75,train
-1.7211807,-0.9924779,10,C_Sav_75,train
1.4423745,-0.8672417,7,C_Sav_75,train
-0.85967124,0.20374307,13,C_Sav_75,train
0.5465691,-0.3691626,9,C_Sav_75,train
0.7035616,-0.3434659,8,C_Sav_75,train
1.0322611,0.82181954,14,C_Sav_75,train
0.8687455,0.039085757,4,C_Sav_75,train
-0.10218648,0.43510818,0,C_Sav_75,train
-0.058439046,-0.1438196,3,C_Sav_75,train
-1.0103436,0.6409744,1,C_Sav_75,train
0.6118295,-0.24401659,6,C_Sav_75,train
-0.38342768,-0.068960704,2,C_Sav_75,train
-1.0259101,1.9644246,5,C_Sav_75,train
0.2567015,0.5153992,12,C_Lav_24,train
-1.648683,-0.4233589,11,C_Lav_24,train
2.217597,0.9836911,10,C_Lav_24,train
0.04518563,0.82081276,7,C_Lav_24,train
0.8273935,1.3661553,13,C_Lav_24,train
0.28657264,-2.7602978,9,C_Lav_24,train
-0.059044875,0.20556474,8,C_Lav_24,train
0.049200173,-0.31572312,14,C_Lav_24,train
1.4413424,-0.7642027,4,C_Lav_24,train
0.9415726,0.30997127,0,C_Lav_24,train
0.025864601,-0.82741624,3,C_Lav_24,train
-0.19062129,0.75965047,1,C_Lav_24,train
0.49854133,-1.1017702,6,C_Lav_24,train
-0.40904692,-0.08691592,2,C_Lav_24,train
-0.53146434,-0.30867398,5,C_Lav_24,train
-0.940502,-3.1364968,3,C_Lav_29,train
-2.4572833,-0.21992326,0,C_Lav_29,train
-1.5228285,0.108892046,4,C_Lav_29,train
-1.0584154,0.18473084,5,C_Lav_29,train
-1.7085404,-0.33374277,2,C_Lav_29,train
0.35211903,-1.6651903,6,C_Lav_29,train
-0.58943176,-0.5477125,1,C_Lav_29,train
-0.056325197,0.32232928,11,C_Lav_29,train
-0.45379072,0.55918014,12,C_Lav_29,train
0.58192945,0.69695526,8,C_Lav_29,train
2.4018333,0.8083461,14,C_Lav_29,train
-0.5034294,-0.0049452283,9,C_Lav_29,train
-0.2193575,-0.62659127,7,C_Lav_29,train
-0.0140841445,-2.3957741,13,C_Lav_29,train
0.12820199,0.35105872,10,C_Lav_29,train
0.65313053,1.0489467,3,C_Lvav_28,train
-0.6584585,-0.38538554,0,C_Lvav_28,train
0.30947748,0.37563315,4,C_Lvav_28,train
1.1177651,-0.265403,5,C_Lvav_28,train
0.6716493,0.86603236,2,C_Lvav_28,train
-1.0267302,-0.17071661,6,C_Lvav_28,train
-1.3938756,-0.9967798,1,C_Lvav_28,train
-0.004999608,0.082231134,11,C_Lvav_28,train
0.031882003,0.29865628,12,C_Lvav_28,train
-0.15202019,0.81000006,14,C_Lvav_28,train
-1.1009859,-0.5875925,8,C_Lvav_28,train
1.2657579,-0.2931074,9,C_Lvav_28,train
-0.51838565,-0.6112603,13,C_Lvav_28,train
-0.6841862,0.14175156,7,C_Lvav_28,train
-1.0957633,-0.58138174,10,C_Lvav_28,train
0.23896363,0.4450767,0,C_Lvav_66,train
0.9527148,0.08303363,3,C_Lvav_66,train
-0.98860264,-0.08145328,4,C_Lvav_66,train
-0.60485053,0.6162985,2,C_Lvav_66,train
-0.7767641,0.6397982,5,C_Lvav_66,train
-0.67442787,-0.095353186,1,C_Lvav_66,train
0.26096898,0.33530286,6,C_Lvav_66,train
1.463604,0.23157315,11,C_Lvav_66,train
-1.043324,-0.61216384,12,C_Lvav_66,train
0.059813302,-0.5488958,9,C_Lvav_66,train
0.11137558,0.70741075,8,C_Lvav_66,train
0.3480463,1.0170808,14,C_Lvav_66,train
0.14816743,-0.61143327,10,C_Lvav_66,train
0.46836776,0.9551915,7,C_Lvav_66,train
-0.51513785,-1.7562904,13,C_Lvav_66,train
1.253495,0.47229713,12,C_Lava_26,train
0.54460436,-0.43308428,11,C_Lava_26,train
0.3058035,2.014809,10,C_Lava_26,train
0.3022894,-1.4726276,7,C_Lava_26,train
0.78264385,-0.40997472,13,C_Lava_26,train
-0.55242187,-0.45081866,9,C_Lava_26,train
1.3764542,-1.2035506,8,C_Lava_26,train
0.7557263,0.2816126,14,C_Lava_26,train
0.28947285,-0.6480299,4,C_Lava_26,train
0.7913826,0.5249475,0,C_Lava_26,train
1.2949858,1.2518963,3,C_Lava_26,train
0.27428922,-1.485187,1,C_Lava_26,train
0.71657395,-0.7167388,6,C_Lava_26,train
-1.541379,-0.22350216,2,C_Lava_26,train
-0.5169798,-1.3609036,5,C_Lava_26,train
-1.1542083,-0.64720786,3,C_Lvav_10,train
-1.9338319,0.14065292,0,C_Lvav_10,train
-0.8391654,-0.03135328,4,C_Lvav_10,train
-0.017186735,-0.88587844,5,C_Lvav_10,train
-0.31428587,0.37082344,2,C_Lvav_10,train
0.7634363,0.56744325,6,C_Lvav_10,train
-0.84759897,-1.5079495,1,C_Lvav_10,train
1.9099172,0.34364682,11,C_Lvav_10,train
-1.0540515,-0.26349342,12,C_Lvav_10,train
-0.08803477,1.1557336,14,C_Lvav_10,train
0.2346258,0.03321283,8,C_Lvav_10,train
-0.42286882,2.2563555,9,C_Lvav_10,train
1.2282622,0.8132768,13,C_Lvav_10,train
-0.064562954,-0.4706489,7,C_Lvav_10,train
-0.61448276,-1.1364117,10,C_Lvav_10,train
1.0994035,1.0727938,7,C_Lav_97,train
-1.1373099,0.76554626,13,C_Lav_97,train
-2.1875775,0.8960106,10,C_Lav_97,train
-0.039838184,2.370042,8,C_Lav_97,train
-4.1538477,-0.9763621,14,C_Lav_97,train
-0.6942283,-1.7113665,9,C_Lav_97,train
-1.777195,0.22377801,12,C_Lav_97,train
0.17580906,0.9624722,11,C_Lav_97,train
-0.6539733,-0.007894487,6,C_Lav_97,train
0.4599229,-1.1168505,1,C_Lav_97,train
-1.1149601,0.4100553,5,C_Lav_97,train
-0.93834674,-1.3312441,2,C_Lav_97,train
0.105389774,1.2274446,4,C_Lav_97,train
-0.57392657,-0.2239744,3,C_Lav_97,train
0.033535607,-1.1556545,0,C_Lav_97,train
1.1694999,0.35147268,5,C_Lav_22,train
-1.1646287,0.20122655,2,C_Lav_22,train
-1.4275122,1.3884342,6,C_Lav_22,train
-1.4382362,0.59444696,1,C_Lav_22,train
0.8708657,-0.089315996,3,C_Lav_22,train
0.95692575,0.5209225,0,C_Lav_22,train
-0.36766437,0.26937437,4,C_Lav_22,train
1.0480226,-1.2136585,8,C_Lav_22,train
-0.12386448,1.3706074,14,C_Lav_22,train
-0.18115187,2.2440038,9,C_Lav_22,train
2.3532035,0.21963404,7,C_Lav_22,train
1.2247486,-0.13381901,13,C_Lav_22,train
1.1245685,-0.15049684,10,C_Lav_22,train
0.5392821,-0.84275925,11,C_Lav_22,train
0.3258232,-0.50238425,12,C_Lav_22,train
-0.45154744,-0.685179,14,C_Savav_73,train
-0.045048334,0.56551605,8,C_Savav_73,train
0.24241984,2.0832622,9,C_Savav_73,train
2.4948075,0.05125027,13,C_Savav_73,train
-2.188358,0.9242567,7,C_Savav_73,train
-0.52840835,1.630662,10,C_Savav_73,train
1.1978115,-0.04262879,11,C_Savav_73,train
-1.8152612,0.67145306,12,C_Savav_73,train
-1.409594,0.17511001,5,C_Savav_73,train
0.15003304,-1.1199007,2,C_Savav_73,train
-0.43488497,0.8309196,6,C_Savav_73,train
-0.07004254,0.03527681,1,C_Savav_73,train
1.0667688,-0.044124894,3,C_Savav_73,train
-0.4180131,-1.2790531,0,C_Savav_73,train
-0.14886175,-0.79621637,4,C_Savav_73,train
2.069159,0.070358455,9,C_Lvav_84,train
-1.6820215,0.7979107,8,C_Lvav_84,train
-0.2235111,-1.1201701,14,C_Lvav_84,train
2.6251037,-0.35732895,10,C_Lvav_84,train
1.7645966,1.1305798,7,C_Lvav_84,train
0.9529123,-0.9643307,13,C_Lvav_84,train
-0.08031036,-0.1838721,11,C_Lvav_84,train
-0.938056,-0.44219404,12,C_Lvav_84,train
0.049185563,-0.88624936,2,C_Lvav_84,train
-1.9308842,0.36045018,5,C_Lvav_84,train
-1.1791129,1.4442656,1,C_Lvav_84,train
-0.2152407,0.6903097,6,C_Lvav_84,train
-0.64790213,0.09267366,0,C_Lvav_84,train
-0.4715832,-0.54375684,3,C_Lvav_84,train
0.1038143,1.7347386,4,C_Lvav_84,train
0.7292812,1.3483757,11,C_Lav_8,train
0.37822628,0.1104549,12,C_Lav_8,train
-0.6769297,-0.3347249,9,C_Lav_8,train
-0.76557434,-1.0387673,8,C_Lav_8,train
-0.6497236,0.04349857,14,C_Lav_8,train
0.614128,-1.9981055,10,C_Lav_8,train
0.116297536,-0.4905488,7,C_Lav_8,train
-0.13856956,1.544427,13,C_Lav_8,train
0.42530388,0.99436736,0,C_Lav_8,train
-0.5473885,0.8207474,3,C_Lav_8,train
0.26325506,0.37010837,4,C_Lav_8,train
0.07197249,-0.32707775,2,C_Lav_8,train
-0.75605655,-0.29193562,5,C_Lav_8,train
-1.4752662,1.2552347,1,C_Lav_8,train
0.63483167,2.131896,6,C_Lav_8,train
-0.6976999,-1.5334325,4,C_Savav_83,train
-0.843743,0.8554584,0,C_Savav_83,train
-1.0288079,-0.063529454,3,C_Savav_83,train
-0.58247113,-0.99890214,1,C_Savav_83,train
-2.1861389,-0.51729816,6,C_Savav_83,train
0.50685066,-0.1232711,2,C_Savav_83,train
2.061256,-1.3543361,5,C_Savav_83,train
-0.44939417,0.961236,12,C_Savav_83,train
0.567838,1.4389467,11,C_Savav_83,train
2.107907,0.4814459,10,C_Savav_83,train
-1.7258803,-0.5536151,7,C_Savav_83,train
0.70014375,1.1272342,13,C_Savav_83,train
-0.6015396,1.0031921,9,C_Savav_83,train
0.13551517,-0.014454189,8,C_Savav_83,train
0.5025016,0.24339433,14,C_Savav_83,train
-0.21505094,-0.12837726,12,C_Lava_94,train
-0.8388926,0.5453456,11,C_Lava_94,train
2.4857306,-0.52616394,10,C_Lava_94,train
0.20300356,-0.16887268,7,C_Lava_94,train
-0.72099245,0.6673947,13,C_Lava_94,train
0.06728745,0.37454075,9,C_Lava_94,train
-0.25063318,-1.7515538,8,C_Lava_94,train
0.16567281,-0.66406834,14,C_Lava_94,train
0.3553648,-0.8631824,4,C_Lava_94,train
-0.19452387,-0.7299767,0,C_Lava_94,train
-0.22438014,0.6338447,3,C_Lava_94,train
-1.9943678,0.9826057,1,C_Lava_94,train
-0.7235355,1.5397252,6,C_Lava_94,train
-2.6285121,2.0064232,2,C_Lava_94,train
0.79230213,-0.41447347,5,C_Lava_94,train
1.3815364,0.15726206,12,C_Lvav_97,train
-1.2292167,1.6441978,11,C_Lvav_97,train
0.02250101,0.64220774,10,C_Lvav_97,train
-0.46767417,-0.015868085,13,C_Lvav_97,train
-1.2180805,0.6801421,7,C_Lvav_97,train
-0.4922338,-0.0048899036,9,C_Lvav_97,train
0.33348823,1.3013057,14,C_Lvav_97,train
-0.87462443,-1.548173,8,C_Lvav_97,train
0.31292665,0.5403852,4,C_Lvav_97,train
-1.3105977,0.5790882,0,C_Lvav_97,train
-0.27382836,-1.9897708,3,C_Lvav_97,train
0.21758306,0.4868572,1,C_Lvav_97,train
1.8059462,-1.0155239,6,C_Lvav_97,train
-0.9171261,0.56477106,2,C_Lvav_97,train
0.0935601,2.2706006,5,C_Lvav_97,train
-0.76694554,0.49129423,4,C_Savav_89,train
-0.003331828,1.4006174,3,C_Savav_89,train
0.11825576,0.70390683,0,C_Savav_89,train
-0.26933414,-1.8795205,6,C_Savav_89,train
-0.8526464,-1.0814681,1,C_Savav_89,train
-0.30898783,-0.6646472,5,C_Savav_89,train
-1.0359712,-0.48938894,2,C_Savav_89,train
0.06917208,0.8812183,12,C_Savav_89,train
1.0551254,-0.5053518,11,C_Savav_89,train
-0.27856126,0.08977597,7,C_Savav_89,train
-0.20478445,2.5657218,13,C_Savav_89,train
1.1022282,0.46889484,10,C_Savav_89,train
0.2828487,0.15746856,8,C_Savav_89,train
-0.45720935,0.062089726,14,C_Savav_89,train
-0.5399485,-1.1683371,9,C_Savav_89,train
0.6786496,0.39431614,9,C_Lvav_33,train
1.9603267,-0.039119363,14,C_Lvav_33,train
-0.45294285,0.27453405,8,C_Lvav_33,train
0.5022394,1.5901308,10,C_Lvav_33,train
0.46389282,-0.2826295,13,C_Lvav_33,train
-1.7926399,-0.34393257,7,C_Lvav_33,train
-0.05510858,1.4871336,11,C_Lvav_33,train
0.29374987,-0.71196485,12,C_Lvav_33,train
1.1403478,-1.345673,2,C_Lvav_33,train
0.3374063,0.52892566,5,C_Lvav_33,train
-0.44721854,0.4104631,1,C_Lvav_33,train
0.5550302,1.5174482,6,C_Lvav_33,train
-0.27058098,0.66773283,0,C_Lvav_33,train
0.7564037,-0.60191274,3,C_Lvav_33,train
-0.47136477,-0.9895964,4,C_Lvav_33,train
-0.15566608,-0.011525923,11,C_Lava_34,train
-1.5481997,0.22154991,12,C_Lava_34,train
1.3035967,-0.5778626,14,C_Lava_34,train
-0.19675249,-0.15377781,8,C_Lava_34,train
-0.5477134,0.3583708,9,C_Lava_34,train
1.0655215,-1.4245985,13,C_Lava_34,train
0.40912065,-1.4512599,7,C_Lava_34,train
0.28545564,0.2531517,10,C_Lava_34,train
1.0893148,-0.7716391,3,C_Lava_34,train
1.3769377,1.3664217,0,C_Lava_34,train
1.4672161,1.0073593,4,C_Lava_34,train
1.7573305,-0.5174455,5,C_Lava_34,train
-2.4960167,-0.8930339,2,C_Lava_34,train
-0.9044799,1.1244357,6,C_Lava_34,train
-1.0897341,0.08353078,1,C_Lava_34,train
-0.19764906,1.1672686,7,C_Lava_66,train
0.6571729,0.72778463,13,C_Lava_66,train
1.4830307,-0.24120516,10,C_Lava_66,train
-0.19555011,0.51170343,8,C_Lava_66,train
0.67248905,-0.81167686,14,C_Lava_66,train
-1.4372201,-0.2536324,9,C_Lava_66,train
-0.2539381,-0.0568085,12,C_Lava_66,train
-0.18130068,1.1553942,11,C_Lava_66,train
0.06528455,-1.2100915,6,C_Lava_66,train
-0.386005,-0.161989,1,C_Lava_66,train
0.6519265,1.4106712,5,C_Lava_66,train
-0.86588466,2.159411,2,C_Lava_66,train
0.672615,0.6037475,4,C_Lava_66,train
0.43837312,-0.54367834,3,C_Lava_66,train
-0.44937944,0.054423153,0,C_Lava_66,train
-0.68564194,-0.22617823,9,C_Lvav_77,train
-0.6657058,0.6620764,8,C_Lvav_77,train
1.1820042,0.47947094,14,C_Lvav_77,train
0.7778407,0.35814315,10,C_Lvav_77,train
-1.17244,0.07549883,7,C_Lvav_77,train
-0.27236646,-1.67523,13,C_Lvav_77,train
1.6250548,0.8140127,11,C_Lvav_77,train
0.4995383,0.31370413,12,C_Lvav_77,train
1.2592233,-1.0296433,2,C_Lvav_77,train
-1.0750605,-0.885301,5,C_Lvav_77,train
-0.96175796,-0.32979897,1,C_Lvav_77,train
-0.7393503,-1.6299199,6,C_Lvav_77,train
-0.81005645,0.8540033,0,C_Lvav_77,train
1.0400589,2.184036,3,C_Lvav_77,train
0.8489169,-0.7675154,4,C_Lvav_77,train
0.48400435,-0.62285066,2,C_Lav_15,train
0.08723951,0.97412014,5,C_Lav_15,train
1.6018836,0.72708917,1,C_Lav_15,train
-0.41330135,-1.461941,6,C_Lav_15,train
1.3083906,0.54343766,0,C_Lav_15,train
0.43695182,-0.45950627,3,C_Lav_15,train
0.6314527,-0.12279065,4,C_Lav_15,train
-0.8318626,1.6547441,9,C_Lav_15,train
1.7882152,1.3787807,14,C_Lav_15,train
0.3117362,-0.85442054,8,C_Lav_15,train
1.324722,0.4596765,10,C_Lav_15,train
0.07025974,-0.7094895,13,C_Lav_15,train
0.06415174,-1.7617908,7,C_Lav_15,train
0.6784035,-2.5935447,11,C_Lav_15,train
-1.0404236,-2.264745,12,C_Lav_15,train
1.2085371,-0.18286003,5,C_Lava_25,train
0.025295194,0.022332957,2,C_Lava_25,train
-0.5462194,0.24321349,6,C_Lava_25,train
0.21390443,0.44387284,1,C_Lava_25,train
0.4609617,0.7043358,3,C_Lava_25,train
0.283852,-0.80887854,0,C_Lava_25,train
-0.037880484,-0.043377243,4,C_Lava_25,train
-0.7807746,-2.1685483,14,C_Lava_25,train
-1.3956378,-0.53802943,8,C_Lava_25,train
0.6460314,-0.21620938,9,C_Lava_25,train
-0.3479172,0.2485721,13,C_Lava_25,train
-1.8577464,0.111339055,7,C_Lava_25,train
-1.6377509,-0.7841373,10,C_Lava_25,train
1.2766961,0.5644182,11,C_Lava_25,train
