sample_id,batch,array,raft,timepoint,model,dataset,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
250609_array1_6,250609,array1,6,8,cae-medium_frac100,gastruloid_128,-1.2670838,1.1598549,-0.0075502773,1.7513224,1.6683012,-0.8072336,-0.9881009,0.82980645,-2.2000268,-0.73533934,-0.040918283,-2.2929432,-1.6891531,-1.004617,1.7435445,-0.57023007
250609_array1_6,250609,array1,6,4,cae-medium_frac100,gastruloid_128,0.0009083912,-0.7539691,1.0957427,0.8085165,0.5225065,1.6055062,-0.4226015,-0.9562305,0.07734357,0.26322946,2.897672,-1.1638647,1.2164372,-1.4373306,0.9222298,0.2637668
250609_array1_6,250609,array1,6,5,cae-medium_frac100,gastruloid_128,0.89152324,-0.55118805,0.17373736,-2.0309865,-0.9355923,0.44082102,-0.4525379,-1.5174797,0.48390442,-1.2649572,-1.103087,0.9425579,0.37821484,-0.18359008,-0.5668547,0.35041326
250609_array1_6,250609,array1,6,7,cae-medium_frac100,gastruloid_128,0.073955186,-0.36338574,-0.66128886,-0.73269916,0.0047967,0.34850863,0.006285051,1.1135359,-0.5748454,-0.89630574,0.5093391,-0.17952931,0.3304195,-0.6745323,-0.6490516,0.93223006
250609_array1_6,250609,array1,6,6,cae-medium_frac100,gastruloid_128,-1.275117,-1.2533438,0.4501349,0.0024054374,-1.3983942,-0.2439878,-1.6474321,-1.5182981,0.34769943,-1.6761621,-0.299769,-1.2469434,0.16882536,-0.5503783,-0.18163694,-0.45495036
250609_array1_6,250609,array1,6,2,cae-medium_frac100,gastruloid_128,0.28086936,-0.686707,-0.17168316,-0.36956552,1.2268382,-0.5779296,1.5476803,-0.3808814,2.523461,0.559319,0.5951793,1.7375402,0.6144665,2.3458269,-2.4652863,0.24701843
250609_array1_6,250609,array1,6,3,cae-medium_frac100,gastruloid_128,-0.66402745,1.4332979,0.39850068,-0.96431994,-0.31734815,-0.14160906,-1.0486151,-0.50549406,0.28066033,0.018213065,-0.24816673,-0.33803895,-0.4995137,-0.4699295,-0.25109726,-0.49649954
250609_array1_6,250609,array1,6,1,cae-medium_frac100,gastruloid_128,0.12871286,-0.019013928,0.42710495,0.32663602,1.1995549,-1.9756819,0.9059942,0.11012632,1.7482141,0.5947223,0.32038426,-0.4610954,-0.74563557,1.9515512,-1.9932185,0.5903127
250609_array1_6,250609,array1,6,0,cae-medium_frac100,gastruloid_128,0.6371413,0.78193784,0.6911855,-0.25809395,0.7055504,0.2629061,-0.9810612,-0.30804253,-1.221416,0.26567206,0.79488903,-0.15622094,-1.0123023,-0.8874655,0.40922123,0.35971785
250623_array1_136,250623,array1,136,8,cae-medium_frac100,gastruloid_128,-0.39813033,-2.3219237,-0.46059263,1.5657983,-0.1702,-0.047490392,-0.5692152,-0.5410377,-0.085027166,-0.8017414,-0.24444906,-0.43225932,0.25718608,-1.0228305,-0.16168553,0.2036461
250623_array1_136,250623,array1,136,7,cae-medium_frac100,gastruloid_128,-0.48912457,0.4687843,-2.286014,1.8194042,1.91249,-0.37325633,0.06783495,1.7643692,-2.6694343,0.08456078,-0.55318403,-0.730614,-0.8665616,-0.527656,1.6968274,-0.8664554
250623_array1_136,250623,array1,136,6,cae-medium_frac100,gastruloid_128,0.5894896,1.4919274,0.61260504,-1.2837995,0.89886236,-0.91833085,0.54081434,0.8672802,1.7434363,0.4938421,0.15473531,1.5474566,-0.5268023,2.158808,-0.4904069,1.8222946
250623_array1_136,250623,array1,136,4,cae-medium_frac100,gastruloid_128,-0.42313275,-1.223906,-0.73915255,-0.6823334,-0.9864034,1.3888112,-0.7903806,-1.7578673,-0.8322793,0.3219896,1.5344987,0.12984021,1.2692409,-1.5493064,0.74668074,-1.709333
250623_array1_136,250623,array1,136,5,cae-medium_frac100,gastruloid_128,1.8993875,-1.1992701,-0.20948957,-0.6095876,0.44424275,0.7863404,1.0839514,1.072551,0.025920624,-0.983643,-0.29501477,0.07435236,-0.22154748,0.2538513,-0.6287793,0.3905131
250623_array1_136,250623,array1,136,1,cae-medium_frac100,gastruloid_128,1.1681992,0.6029972,0.6882775,-0.8437104,0.43271813,-0.4538203,0.17001136,0.08061373,0.2584018,0.31699094,-0.50272214,0.7013607,-0.35627192,-0.06405778,-0.7419758,0.90869516
250623_array1_136,250623,array1,136,0,cae-medium_frac100,gastruloid_128,0.8253701,1.7570323,-0.07181603,-0.976462,-1.9036705,1.8838708,-2.2327893,-0.5348459,0.61671406,0.06336639,-2.063535,0.17374691,-0.1452898,0.0988411,-1.0297322,-0.9835663
250623_array1_136,250623,array1,136,2,cae-medium_frac100,gastruloid_128,-0.40985817,-1.27548,-1.8294367,0.15418908,-1.1920476,1.484532,-0.005278598,-0.9445593,0.30550998,0.031598017,0.62899655,0.56590503,1.4181457,-1.0551258,0.7853003,-0.9025722
250623_array1_136,250623,array1,136,3,cae-medium_frac100,gastruloid_128,2.6009307,-1.1682168,0.09924028,0.19314408,0.8466181,1.9707024,0.657434,0.9058187,0.25550652,0.6110152,0.35681462,-0.8546906,0.26393187,0.1600331,-0.9019971,1.0484122
250623_array1_349,250623,array1,349,8,cae-medium_frac100,gastruloid_128,-0.44245258,0.8395475,0.957099,-0.9634496,0.9350394,-1.3213412,0.07221532,-1.5650917,-0.29756483,0.09667438,1.585027,0.05127306,-1.9625415,-0.25413832,0.06187728,1.3662186
250623_array1_349,250623,array1,349,4,cae-medium_frac100,gastruloid_128,0.9792686,-1.9903142,-0.08661977,-0.9587303,-1.0343281,0.24768107,-0.4510968,-1.4875165,0.2597613,-0.97703594,-0.020557985,-0.20185785,0.39514098,-0.11155039,-0.4807242,0.61517835
250623_array1_349,250623,array1,349,5,cae-medium_frac100,gastruloid_128,-0.4400554,0.3702703,-1.7953192,-1.2577522,-0.7048661,0.99462724,-1.3057172,1.1504076,-1.9301682,1.2844367,0.033879366,2.20385,2.250573,-1.3124553,0.31973508,-1.6686888
250623_array1_349,250623,array1,349,7,cae-medium_frac100,gastruloid_128,0.8252098,0.08690948,0.5342644,-1.7355767,-0.14895138,0.42521626,0.25488517,-0.4421487,-0.5297665,-0.6305698,0.19619286,0.010777897,0.08802137,-0.599435,-0.68831676,0.28646645
250623_array1_349,250623,array1,349,6,cae-medium_frac100,gastruloid_128,0.2622435,-0.41110894,-0.62676245,-0.45305395,-0.124746315,-1.6392342,0.8477895,1.4411882,0.38461402,-0.66996235,-0.07459365,0.19646014,0.19156793,-0.27764466,-0.77588785,-0.4996502
250623_array1_349,250623,array1,349,2,cae-medium_frac100,gastruloid_128,-0.31045824,-0.090819374,0.0817915,0.3826614,-0.36725506,-0.79657245,0.8602159,0.8614945,-0.14593689,-0.65582126,-1.4205794,0.14084984,0.16239673,-0.1807966,0.80931294,0.6837248
250623_array1_349,250623,array1,349,3,cae-medium_frac100,gastruloid_128,-0.6593576,1.292751,1.1597736,-0.44478378,-0.9947276,0.2360255,-0.029838579,-0.2761911,-0.17343815,0.28691834,-1.1648628,0.061151467,-1.0658973,0.20001408,0.33806568,-0.25401115
250623_array1_349,250623,array1,349,1,cae-medium_frac100,gastruloid_128,0.41282633,0.46712384,-0.8511979,1.9289498,0.31824678,-1.3437414,0.5904105,0.19591862,2.6739311,0.057836685,0.068424284,0.45979962,0.04202418,0.61893624,-0.06075615,1.5366341
250623_array1_349,250623,array1,349,0,cae-medium_frac100,gastruloid_128,-1.6767558,-0.38694227,0.55230826,0.013529439,0.26012838,-0.2504388,0.8550531,1.4492322,1.2237246,0.3584743,0.06493662,-0.36486664,-0.18055575,-0.37909925,-0.4048816,-1.4190943
250722_array1_487,250722,array1,487,8,cae-medium_frac100,gastruloid_128,1.9301946,-0.68222225,0.07183175,-1.0308204,-0.042629585,-0.04991079,0.685409,0.76971227,0.42439663,-0.23668976,-1.1643155,-0.5368571,0.008919389,0.5872286,-0.6985355,-0.03417417
250722_array1_487,250722,array1,487,3,cae-medium_frac100,gastruloid_128,0.7323178,-1.6323017,-0.21879283,1.0163933,-0.88766325,2.0666134,-1.7505072,-1.1205317,-1.3274801,1.2534158,2.1223714,-0.7539312,2.0752513,-1.8502,0.92161393,-0.7494378
250722_array1_487,250722,array1,487,2,cae-medium_frac100,gastruloid_128,1.3142983,-0.56221485,0.704095,-1.9015434,0.09126541,-0.39507526,0.41880682,-0.9890174,-0.24465027,0.22272007,0.29985812,1.0518013,-0.6167175,-0.06596424,-0.22583042,1.2322271
250722_array1_487,250722,array1,487,0,cae-medium_frac100,gastruloid_128,-0.9496961,1.8106866,1.8459078,-1.1301539,-0.54875624,0.22880393,-0.8469115,-1.3610685,0.16659476,0.84694624,-0.74426293,-0.389752,-1.1592296,-0.3734662,0.20377594,0.28036284
250722_array1_487,250722,array1,487,1,cae-medium_frac100,gastruloid_128,1.0163713,-0.32460442,1.1279048,-1.0772184,-0.24926937,-0.21823414,0.8616199,-0.8037677,-0.16866945,0.06969567,-0.97779626,0.6387492,0.6387472,0.59357077,0.6959731,0.8504987
250722_array1_487,250722,array1,487,5,cae-medium_frac100,gastruloid_128,-0.92037433,-0.76980066,-1.1015446,0.32361007,-1.6454725,1.1209867,-0.6478389,0.13570063,-0.027275361,0.6130453,0.30696943,-0.9065644,0.61408126,-1.2196958,0.4709346,-1.218383
250722_array1_487,250722,array1,487,4,cae-medium_frac100,gastruloid_128,-1.1547635,-0.8726623,-0.93031216,2.3229125,-0.7697052,2.019203,-1.0338933,1.6291759,0.41906562,0.7674044,1.6670624,1.0472629,2.2571201,-1.4817394,0.5181664,-1.2239711
250722_array1_487,250722,array1,487,6,cae-medium_frac100,gastruloid_128,2.1594687,-1.7379197,-0.69666976,-0.067760125,0.7528298,-0.18753573,-1.0823195,0.8866536,0.26596552,-0.42661932,-0.31222212,-1.1106364,-0.073597565,0.3119744,-0.15278204,0.11988666
250722_array1_487,250722,array1,487,7,cae-medium_frac100,gastruloid_128,0.781827,-0.5858927,0.36153734,1.011567,0.7922957,0.15376951,-1.3936216,1.0623376,-0.33981133,1.8996906,-2.350184,-2.9329076,-1.0906905,-0.09307895,-0.44633868,0.90437
250623_array1_489,250623,array1,489,6,cae-medium_frac100,gastruloid_128,0.56802076,-0.012237243,0.76279,-0.87023777,-0.330432,-0.5249927,-0.46379474,0.5477686,-0.23613015,-1.0324093,-0.8845337,-0.9843001,-0.8767344,-0.1791021,-0.028326888,-0.5326038
250623_array1_489,250623,array1,489,7,cae-medium_frac100,gastruloid_128,-0.42298758,-0.933475,-1.5075548,0.7010346,-0.16034208,1.1656018,-0.45965192,0.41165787,-0.46527377,0.53358406,0.9204765,-1.2712677,1.4134116,-1.21613,1.0697088,-0.5514642
250623_array1_489,250623,array1,489,5,cae-medium_frac100,gastruloid_128,-0.4391746,0.6201933,1.5149444,-0.2740763,0.23769592,-1.1342658,-0.0610639,-0.5265005,-0.5551689,1.5765345,-1.2000448,-0.010209891,-0.7030195,-0.50238824,0.1235224,0.05789709
250623_array1_489,250623,array1,489,4,cae-medium_frac100,gastruloid_128,-1.2893071,0.4859005,0.6301886,-1.0978645,0.00046170273,0.25241932,-2.0079405,-1.66587,-1.1005353,-0.21449228,1.0144674,0.6097929,-0.64012986,-1.3419664,1.155797,-1.6765774
250623_array1_489,250623,array1,489,0,cae-medium_frac100,gastruloid_128,-1.6841469,-0.19946279,-1.848264,2.4283721,1.6120653,1.0290966,1.0692358,-0.11449217,-1.1952407,2.9177635,-2.8245254,-1.0986358,0.39674446,0.3000243,-1.3019167,-0.4494603
250623_array1_489,250623,array1,489,1,cae-medium_frac100,gastruloid_128,0.31525505,-0.31839347,-0.93518406,-0.17619747,-0.3394169,-0.5850581,0.2538443,-1.0712676,0.15911408,-1.1230476,-0.6948179,0.22843812,-0.15395465,0.6984401,-0.6713313,0.28797698
250623_array1_489,250623,array1,489,3,cae-medium_frac100,gastruloid_128,-0.7000431,0.52579194,-0.44596204,0.26269326,-0.9853237,1.728617,0.11659561,0.3016557,-0.45810938,-2.6970072,-1.45606,2.1465962,0.067343846,0.2559604,-0.65812975,-0.4440183
250623_array1_489,250623,array1,489,2,cae-medium_frac100,gastruloid_128,0.56857556,-0.2749139,0.7752163,-1.5148306,-1.0104393,0.45246467,0.08052139,-0.6934264,0.5714959,-0.09958514,-0.32299414,1.1798431,-0.7218263,0.61877614,0.1983441,0.42102617
250623_array1_489,250623,array1,489,8,cae-medium_frac100,gastruloid_128,-1.1053557,2.1521757,0.9099901,-0.46843308,2.1667705,-1.5055333,0.68450767,0.4559422,-0.18495789,-0.29514015,1.4989762,-0.9126174,-0.7901839,0.7826453,-0.6115402,-0.80834
250616_array1_453,250616,array1,453,1,cae-medium_frac100,gastruloid_128,-0.34087986,-1.687774,-2.7247722,0.60796463,-0.77887666,1.0302601,-0.7693771,-1.6638024,-0.6528419,1.1888032,2.0589294,-0.7965618,0.92922735,-1.0560082,2.3143694,-1.5784096
250616_array1_453,250616,array1,453,0,cae-medium_frac100,gastruloid_128,-0.4726486,-0.36014247,-0.05517418,-0.6588996,-1.2751614,1.2076837,-1.0817317,0.22831672,0.0205722,0.57935685,-0.26215258,0.20493749,0.81899303,-1.1873746,-0.2235751,-1.075803
